Family,Species,Tb,Tb err,Tb (N),Ref,Tb err type,Notes,,
Teiidae,Salvator merianae,35,,8,diele-vargas et al. 2018,,,,
Phrynosomatidae,Sceloporus graciosus,34.1,,,within Sunday 2011 (not found in Sunday); Huey et al. 2009; van Berkum 1988,,,,
Phrynosomatidae,Sceloporus palaciosi,30.2,,,"Lemos-Espinal, Smith and Ballinger 2002",,,,
Phrynosomatidae,Sceloporus serrifer,31,,,Sinervo et al. 2010,,,,
Phrynosomatidae,Sceloporus siniferus,36.2,,,Lemos-Espinal & Ballinger 2001,,,,
Phrynosomatidae,Sceloporus squamosus,35.3,,,Andrews 1998,,,,
Phrynosomatidae,Sceloporus torquatus,33,,,Sinervo et al. 2010,,,,
Phrynosomatidae,Sceloporus undulatus_Colorado,33.5,,,within Huey et al. 2009; Crowley 1985,,,,
Phrynosomatidae,Sceloporus undulatus_SouthCarolina,33.1,,,within Huey et al. 2009; Angilletta 2002,,,,
Phrynosomatidae,Sceloporus woodi,36.2,,42,Brattstrom 1965; Bogert 1949,,,,
Colubridae,Sonora occipitalis,27.9,,5,"Cowles & Bogert 1944, Brattstrom 1965",,,,
,Sphenomorphus lesueurii,32.6,1.97,7,Light et al. 1966 (cited in Du et al. 2006),,,,
Agamidae,Stellagama stellio,34.35,,161,within Huey et al. 2009; Hertz et al. 1983,,,,
Tropiduridae,Stenocercus guentheri,31.93,0.506,22,Andrango et al. 2016,SE,,,
Tropiduridae,Stenocercus roseiventris,28.2,,3,diele-vargas et al. 2018,,,,
Diplodactylidae,Strophurus ciliaris,25.4,,,Pianka and Pianka 1976,,,,
Diplodactylidae,Strophurus elderi,26.2,,,Pianka and Pianka 1976,,,,
Diplodactylidae,Strophurus strophurus,25.3,,,"Pianka and Pianka 1976, Werner and Whitaker 1978",,,,
Phyliodactylidae,Tarentola mauritanica,24.8,,,Angilletta and Werner 1998,,,,
Colubridae,Thamnophis butleri,26.1,,54,"Doughty 1994 (not found in reference), Brattstrom 1965",,,,
Colubridae,Thamnophis saurita,26,,123,Brattstrom 1965,,,,
Phyliodactylidae,Thecadactylus rapicauda,26.9,,80,Diele-Viegas et al. (2017),,,,
Scincidae,Trachylepis brevicollis,33.4,,,Bowker 1984,,,,
Scincidae,Trachylepis occidentalis,36,0.23,136,Huey and Pianka 1977,SE,,,
Scincidae,Trachylepis occidentalis,36,,,Huey and Pianka 1977,,,,
Scincidae,Trachylepis quinquetaeniata,35.6,,,Bowker 1984,,,,
Scincidae,Trachylepis spilogaster,34.5,0.17,271,Huey and Pianka 1977,SE,,,
Scincidae,Trachylepis striata,34.1,0.18,281,Huey and Pianka 1977; Stebbins 1961; Patterson 1991,SE,,,
Scincidae,Trachylepis variegata,33.6,0.56,20,Huey and Pianka 1977,SE,,,
Scincidae,Trachylepis variegata,33.6,,,Huey and Pianka 1977,,,,
Agamidae,Trapelus sanguinolentus,35.4,,,Clemann 2008,,,,
Agamidae,Trapelus savignii,37.9,,57,"within Huey et al. 2009, from Hertz et al. 1983, Tb has no error",,,,
Colubridae,Tropidoclonion lineatum,30.5,,11,Brattstrom 1965,,,,
Tropiduridae,Tropidurus hispidus,34.2,,130,diele-vargas et al. 2018,,,,
Tropiduridae,Tropidurus insulanus,34.5,,51,diele-vargas et al. 2018,,,,
Tropiduridae,Tropidurus oreadicus,32.9,,159,diele-vargas et al. 2018,,,,
Teiidar,Tupinambis longilineus,35.5,,3,diele-vargas et al. 2018,,,,
Teiidae,Tupinambis quadrilineatus,37.2,,1,diele-vargas et al. 2018,,,,
Teiidae,Tupinambis teguixin,33.2,,11,diele-vargas et al. 2018,,,,
Phrynosomatidae,Uma inornata,38,,,within Huey et al. 2009; Bennett 1980,,,,
Phrynosomatidae,Uma notata,38.6,,11+,Brattstrom 1965,,,,
Phrynosomatidae,Uma paraphygas,35.5,,,Sinervo et al 2010,,,,
Tropiduridae,Uracentron flaviceps,31.2,,22,diele-vargas et al. 2018,,,,
Tropiduridae,Uranoscodon superciliosus,27.8,,24,diele-vargas et al. 2018,,,,
Phrynosomatidae,Urosaurus auriculatus,36.3,,25,Brattstrom 1965,,,,
Phrynosomatidae,Urosaurus clarionensis,36.4,,59,Brattstrom 1965,,,,
